RELATÓRIO DE ERROS DE IMPORTAÇÃO
Data/Hora: 04/06/2026 18:37:41
----------------------------------------

- Linha 4137: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4250: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4261: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4915: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4926: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4930: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4967: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4968: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4972: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4975: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4985: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 5011: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 5694: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 10483: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 10491: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 10754: Turma não encontrada na unidade (62.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10755: Turma não encontrada na unidade (62.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10756: Turma não encontrada na unidade (62.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10757: Turma não encontrada na unidade (62.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10758: Turma não encontrada na unidade (62.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10759: Turma não encontrada na unidade (62.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10760: Turma não encontrada na unidade (62.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10761: Turma não encontrada na unidade (62.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10762: Turma não encontrada na unidade (62.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10763: Turma não encontrada na unidade (62.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10764: Turma não encontrada na unidade (62.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10765: Turma não encontrada na unidade (62.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
